OnetImportance,SchoolType,Region
72,0,0
72,0,0
66,0,0
63,0,0
72,0,0
50,0,0
69,0,0
53,0,0
47,0,0
41,0,0
60,0,0
44,0,0
69,0,0
66,0,0
60,0,0
19,0,0
69,0,0
22,0,0
22,0,0
72,0,0
19,0,0
53,0,0
72,0,0
72,0,0
63,0,0
19,0,0
63,0,0
56,0,0
0,Public,EU-ME-AF
0,Public,AM
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,AM
0,Private,AM
0,Private,AM
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Public,EU-ME-AF
0,Public,AM
0,Private,AM
0,Public,AM
0,Public,EU-ME-AF
0,Private,EU-ME-AF
0,Private,AM
0,Private,AM
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Private,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Private,AM
0,Public,AP
0,Private,EU-ME-AF
0,Private,AM
0,Private,AM
0,Private,AM
0,Public,EU-ME-AF
0,Public,AP
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Public,AP
0,Public,AP
0,Private,AM
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Private,AM
0,Public,AM
0,Public,EU-ME-AF
0,Public,AP
0,Public,AP
0,Public,AM
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Private,AM
0,Public,AM
0,Public,AM
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Private,AM
0,Public,AM
0,Private,AM
0,Private,AM
0,Private,AM
0,Public,AM
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Private,AM
0,Private,EU-ME-AF
0,Public,AM
0,Private,AP
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,AP
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Private,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Private,AM
0,Private,AM
0,Private,AM
0,Private,AM
0,Private,AM
0,Private,AM
0,Private,AM
0,Public,EU-ME-AF
0,Public,AP
0,Public,AP
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,AM
0,Public,AM
0,Private,AM
0,Public,AM
0,Private,AM
0,Private,AM
0,Private,AM
0,Private,AM
0,Private,AM
0,Private,AP
0,Private,AP
0,Public,AP
0,Private,AM
0,Private,AM
0,Private,AP
0,Private,EU-ME-AF
0,Public,AP
0,Public,AM
0,Public,AM
0,Public,AM
0,Private,EU-ME-AF
0,Public,AM
0,Public,AM
0,Public,AM
0,Public,AP
0,Public,EU-ME-AF
0,Public,AM
0,Public,AP
0,Public,AM
0,Public,AP
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,AM
0,Public,AM
0,Public,AM
0,Public,AP
0,Public,AM
0,Public,EU-ME-AF
0,Private,AM
0,Public,AM
0,Public,AM
0,Public,AM
0,Public,AM
0,Public,AM
0,Public,AM
0,Public,AM
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Private,AM
0,Private,AM
0,Public,EU-ME-AF
0,Private,AM
0,Private,AM
0,Public,AM
0,Private,AM
0,Private,AM
0,Private,EU-ME-AF
0,Public,AP
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,AM
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,AM
0,Public,AM
0,Public,EU-ME-AF
0,Private,EU-ME-AF
0,Private,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,AM
0,Public,AM
0,Public,AM
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Private,AM
0,Public,AM
0,Public,AP
0,Public,AP
0,Public,AM
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,AP
0,Public,EU-ME-AF
0,Public,AM
0,Private,AM
0,Private,AM
0,Public,AM
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Public,EU-ME-AF
0,Private,EU-ME-AF
0,Public,AP
0,Public,AM
0,Private,AM
0,Public,AP
0,Public,AM
0,Public,AP
0,Public,EU-ME-AF
0,Private,EU-ME-AF
0,Public,AP
0,Public,AM
0,Public,AP
0,Private,AP
0,Private,AP
0,Public,AP
0,Public,EU-ME-AF
0,Private,AM
0,Public,AM
0,Public,AM
0,Public,AM
0,Private,AM
0,Public,AM
0,Public,AM
0,Public,EU-ME-AF
0,Private,AM
0,Public,EU-ME-AF
0,Public,AP
0,Public,AM
0,Private,AM
